smile,training_smile,hit,similarity
Brc1cccc(c1)C1=NCC(=O)Nc2c1oc1ccccc21,C1C(=O)NC2=C(C(=N1)C3=CC=C(C=C3)Br)OC4=CC=CC=C42,0,0.9593073593073593
NCCc1c[nH]c2ccc(cc12)C(N)=O,CCCCC1=CC2=C(C=C1)NC=C2CCN.Cl,0,0.7666068222621185
OCc1cncc(F)c1,C1=CC(=CN=C1)C(=O)O,0,0.47368421052631576
Fc1c[nH]c(=O)[nH]c1=O,C1=C(C(=O)NC(=O)N1)F,0,1.0
Oc1ncc(F)cn1,C1=C(C(=O)NC(=O)N1)F,0,0.2857142857142857
OCc1ccc(C=O)o1,CCCCSCC1=CC=C(O1)C(=O)O,0,0.46518105849582175
O[C@H]1CNC(=C)N[C@@H]1C(O)=O,CC(C)C[C@@H](C(=O)O)NC(=O)NC(C)C,0,0.35294117647058826
CC(C)N(CC[C@H](c1ccccc1)c1cc(CO)ccc1O)C(C)C,CC1=CC(=C(C=C1)O)[C@H](CCN(C(C)C)C(C)C)C2=CC=CC=C2,0,0.9172932330827067
NC(Cc1c[nH]c2ccc(O)cc12)C(O)=O,C1=CC=C(C=C1)COC2=CC3=C(C=C2)NC=C3CC(C(=O)O)N,0,0.853448275862069
Ic1cncc(OC[C@@H]2CCN2)c1,CN(CC1=CC=CC=C1)CC(COC2=CC=C(C=C2)CNCCOC3=CN=CC=C3)O,0,0.37722419928825623
Cc1ccc(C[N+](C)(C)C)o1,CCCN(CC1=CC=C(O1)C)CC2=CC=C(O2)C,0,0.5741935483870968
C[C@H]1NC(=O)NC1=O,C1C(=O)NC(=O)N1,0,0.5620915032679739
C[C@@H]1NC(=O)NC1=O,C1C(=O)NC(=O)N1,0,0.5620915032679739
OC(=O)c1cc(O)c2c(Cl)cc(Cl)cc2n1,COC1=CC(=NC2=CC=CC=C21)C(=O)O,0,0.6953551912568307
COc1ccc(cc1)C1Oc2c(CC=C(C)C)c(O)cc(O)c2C(=O)C1=O,CC(=CCC1=C(C(=C2C(=C1O)C(=O)CC(O2)C3=CC=C(C=C3)O)CC=C(C)C)O)C,0,0.8542471042471043
O[C@@H]1[C@@H](CCl)O[C@H]([C@@H]1O)n1cnc2c(NC3CC4CCC3C4)ncnc12,C1CCC(CC1)NC2=C3C(=NC=N2)N(C=N3)C4C(C(C(O4)CO)O)O,0,0.9084615384615384
Nc1cc2c3ccccc3ccc2c2ccccc12,C1=CC=C2C(=C1)C(=CC3=C2C=NC=C3)N,0,0.6018957345971564
CC1(C)S[C@@H]2[C@H](N)C(=O)N2[C@H]1C(O)=O,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)CC3=CC=CC=C3)C(=O)[O-])C.[K+],0,0.8512628624883068
N(Cc1ccccc1)c1ncnc2nc[nH]c12,C1=CC=C(C=C1)CNC2=NC=NC3=C2NC=N3,0,1.0
COc1cc2c(CCNC(C)=O)c[nH]c2cc1Cl,COC1=CC2=C(C=C1)NC=C2CCNC(=O)CC3=CC=C(C=C3)Cl,0,0.7961432506887053
CCCCCCCCC(=O)NCc1cc(OC)c(O)cc1I,CC(C)/C=C\CCCCC(=O)NCC1=CC(=C(C=C1)O)OC,0,0.683206106870229
